date;socialdemokratiet;radikale_venstre;borgerligt_centrum;centrum-demokraterne;det_konservative_folkeparti;nye_borgerlige;fremad;socialistisk_folkeparti;borgernes_parti;liberal_alliance;kristendemokraterne;dansk_folkeparti;kristeligt_folkeparti;moderaterne;venstre;frie_gronne;danmarksdemokraterne;ny_alliance;enhedslisten;alternativet;miljopartiet_fokus;sambandsflokkurin;folkaflokkurin;javnadarflokkurin;tjodveldi;naleraq;inuit_ataqatigiit;siumut;nunatta_qitornai;ufg
2002-05-14;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;+1
2002-10-21;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;+1
2004-10-18;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;+1
2007-05-03;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;+1
2007-05-08;;-1;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;+2
2007-05-10;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;+1
2007-05-30;;;;;;;;;;;;+1;;;;;;;;;;;;;;;;;;-1
2007-07-09;;;;;;;;;;;;;;;;;;+2;;;;;;;;;;;;-2
2007-08-14;;;;;;;;;;;;;;;-1;;;+1;;;;;;;;;;;;
2007-12-05;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;+1
2008-01-29;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;+1
2008-02-06;;;;;;;;;;-1;;;;;+1;;;;;;;;;;;;;;;
2008-06-23;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;+1
2008-08-12;;+1;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1
2008-10-07;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;+1
2009-01-04;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;+1
2009-03-17;;;;;+1;;;;;;;;;;;;;;;;;;;;;;;;;-1
2009-06-15;;;;;;;;;;+1;;;;;;;;;;;;;;;;;;;;-1
2010-01-18;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;+1
2010-05-19;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;+1
2010-06-21;;;;;;;;;;;+1;;;;;;;;;;;;;;;;;;;-1
2013-03-21;+1;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;
2013-09-16;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;+1
2014-02-03;+1;+1;;;;;;-2;;;;;;;;;;;;;;;;;;;;;;
2014-02-04;+1;;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;
2015-03-12;;;;;;;;;;;;;;;;;;;;+1;;;;;;;;;;-1
2016-04-23;-1;;;;;;;;;;;;;;;;;;;+1;;;;;;;;;;
2016-08-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;;+1
2018-04-24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+1;-1
2019-10-22;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;;+1
2019-11-28;;;;;+1;;;;;;;;;;-1;;;;;;;;;;;;;;;
2020-03-09;;;;;;;;;;;;;;;;;;;;-4;;;;;;;;;;+4
2020-05-12;;;;;;;;+1;;;;;;;;;;;;;;;;;;;;;;-1
2020-12-04;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;+1
2021-01-01;;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;+1
2021-01-26;;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;+1
2021-02-02;+1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-23;;;;;-1;;;;;;;;;;+1;;;;;;;;;;;;;;;
2021-04-26;;;;;;;;;;;+1;;;;;;;;;;;;;;;;;;;-1
2021-08-18;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;;+1
2021-11-02;;;;;;;;;;;;;;;;+3;;;;;;;;;;;;;;-3
2022-02-21;;;;;;;;;;;;-4;;;;;;;;;;;;;;;;;;+4
2022-02-22;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;+1
2022-02-26;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;+1
2022-05-18;;;;;;;;;;;;;;+1;;;;;;;;;;;;;;;;-1
2022-06-24;;;;;;;;;;;;-2;;;;;;;;;;;;;;;;;;+2
2022-06-25;;;;;;;;;;;;-2;;;;;;;;;;;;;;;;;;+2
2022-06-29;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;+1
2022-07-28;;;;;;;;;;;;;;;;;+1;;;;;;;;;;;;;-1
2022-08-17;;;;;;;;;;;;;;;;;+7;;;;;;;;;;;;;-7
2022-08-26;;;;;;;;;;;-1;;;;;;;;;;;;;;;;;;;+1
2022-09-16;;;;;;;;;;;;;;;;-1;;;;+1;;;;;;;;;;
2022-11-08;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;+1
2023-01-24;;;;;;-1;;;;;;+1;;;;;;;;;;;;;;;;;;
2023-02-06;;;;;;;;;;;;+1;;;;;;;;;;;;;;;;;;-1
2023-03-09;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;+1
2023-08-17;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;+1
2023-09-17;;;;;;;;;;;;;;;;;;;;-1;;;;;;;;;;+1
2023-11-17;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;+1
2024-01-10;;;;;;-2;;;;;;;;;;;;;;;;;;;;;;;;+2
2024-01-15;;;;;;-1;;;;;;;;;;;;;;;;;;;;;;;;+1
2024-01-17;;;;;;;;;;+1;;;;;;;;;;;;;;;;;;;;-1
2024-03-19;;;;;;;;;;;;;;;-1;;+2;;;;;;;;;;;;;-1
2024-08-05;;-1;;;;;;;;;;;;;+1;;;;;;;;;;;;;;;
2024-09-05;;;;;;;;;;;;;;-1;;;;;;;;;;;;;;;;+1
2025-01-16;;;;;;;;;+1;;;;;;;;;;;;;;;;;;;;;-1
2025-02-07;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1;;+1
